maxdepth,num_Runs,avgstep
4,50,151.961
4,55,152.941
4,60,138.19
4,65,151.755
4,70,150.297
4,75,135.199
4,80,148.748
4,85,149.89
4,90,134.706
4,95,134.558
6,50,104.605
6,55,97.708
6,60,100.306
6,65,94.0
6,70,98.515
6,75,91.333
6,80,92.573
6,85,84.81
6,90,94.16
6,95,86.761
8,50,73.32
8,55,71.296
8,60,72.34
8,65,70.366
8,70,67.452
8,75,63.392
8,80,68.639
8,85,64.118
8,90,65.773
8,95,61.42
10,50,59.838
10,55,56.13
10,60,55.762
10,65,51.102
10,70,49.669
10,75,54.501
10,80,50.327
10,85,50.964
10,90,46.007
10,95,46.612
12,50,49.422
12,55,45.929
12,60,43.774
12,65,43.92
12,70,45.639
12,75,42.611
12,80,42.612
12,85,42.066
12,90,39.189
12,95,36.343
14,50,40.176
14,55,38.409
14,60,38.6
14,65,37.404
14,70,38.106
14,75,34.633
14,80,31.848
14,85,34.54
14,90,29.954
14,95,30.614
16,50,38.224
16,55,34.233
16,60,33.244
16,65,31.761
16,70,32.051
16,75,30.62
16,80,29.966
16,85,28.811
16,90,29.033
16,95,27.934
18,50,35.119
18,55,29.375
18,60,30.262
18,65,28.547
18,70,27.92
18,75,26.666
18,80,27.337
18,85,26.208
18,90,23.715
18,95,24.364
20,50,30.286
20,55,29.534
20,60,28.188
20,65,27.488
20,70,26.246
20,75,25.122
20,80,24.26
20,85,23.354
20,90,23.056
20,95,21.124
22,50,26.596
22,55,26.34
22,60,26.802
22,65,25.942
22,70,24.306
22,75,23.317
22,80,23.172
22,85,22.202
22,90,21.607
22,95,20.801
24,50,26.335
24,55,26.455
24,60,24.166
24,65,21.574
24,70,23.454
24,75,21.285
24,80,21.12
24,85,20.28
24,90,20.116
24,95,20.966
26,50,25.673
26,55,24.28
26,60,23.052
26,65,21.893
26,70,21.137
26,75,20.762
26,80,21.244
26,85,19.469
26,90,20.383
26,95,19.946
28,50,26.717
28,55,24.064
28,60,22.421
28,65,21.789
28,70,21.507
28,75,19.562
28,80,19.716
28,85,19.353
28,90,19.594
28,95,18.683
