maxdepth,num_Runs,avgstep
20,90,19.046
20,91,19.029
20,92,18.789
20,93,18.826
20,94,18.388
20,95,18.68
20,96,19.574
20,97,16.898
20,98,18.327
20,99,17.996
21,90,18.882
21,91,18.171
21,92,18.03
21,93,17.878
21,94,17.739
21,95,18.387
21,96,17.72
21,97,18.23
21,98,18.259
21,99,17.059
22,90,18.406
22,91,17.401
22,92,17.211
22,93,16.579
22,94,17.138
22,95,17.086
22,96,16.866
22,97,17.505
22,98,16.494
22,99,16.627
23,90,17.378
23,91,18.873
23,92,17.893
23,93,16.865
23,94,16.799
23,95,16.048
23,96,17.129
23,97,16.991
23,98,16.762
23,99,16.605
24,90,16.86
24,91,16.693
24,92,17.681
24,93,16.458
24,94,17.055
24,95,16.552
24,96,16.589
24,97,16.283
24,98,17.18
24,99,16.352
25,90,16.463
25,91,17.998
25,92,17.305
25,93,16.522
25,94,16.285
25,95,17.051
25,96,16.155
25,97,16.81
25,98,15.9
25,99,16.64
26,90,16.599
26,91,16.585
26,92,16.38
26,93,16.53
26,94,15.97
26,95,15.862
26,96,16.253
26,97,16.646
26,98,16.554
26,99,15.708
27,90,16.348
27,91,16.47
27,92,16.506
27,93,16.527
27,94,15.363
27,95,16.206
27,96,15.398
27,97,16.037
27,98,15.828
27,99,15.779
28,90,16.073
28,91,15.748
28,92,16.531
28,93,16.087
28,94,16.064
28,95,15.188
28,96,15.862
28,97,14.779
28,98,15.641
28,99,15.394
29,90,15.535
29,91,15.637
29,92,15.585
29,93,15.789
29,94,16.29
29,95,15.486
29,96,15.787
29,97,15.085
29,98,14.825
29,99,15.169
