maxdepth,num_Runs,avgstep
4,500,108.448
4,1000,106.008
4,5000,31.72
4,10000,20.008
4,20000,13.072
5,500,75.016
5,1000,73.936
5,5000,29.464
5,10000,23.384
5,20000,12.576
7,500,37.96
7,1000,28.304
7,5000,16.72
7,10000,14.384
7,20000,10.776
10,500,16.6
10,1000,12.288
10,5000,10.328
10,10000,10.024
10,20000,10.144
14,500,12.816
14,1000,10.672
14,5000,10.952
14,10000,10.48
14,20000,10.464
19,500,11.256
19,1000,10.872
19,5000,10.416
19,10000,10.568
19,20000,10.648
25,500,10.832
25,1000,10.672
25,5000,10.976
25,10000,11.072
25,20000,10.872
