maxdepth,num_Runs,avgstep
4,500,133.024
4,1000,89.256
4,5000,40.544
4,10000,25.808
4,20000,13.744
5,500,79.112
5,1000,85.184
5,5000,39.944
5,10000,24.144
5,20000,15.264
7,500,43.664
7,1000,31.728
7,5000,18.36
7,10000,12.64
7,20000,11.168
10,500,18.064
10,1000,14.712
10,5000,9.976
10,10000,10.072
10,20000,10.144
14,500,11.896
14,1000,10.896
14,5000,10.368
14,10000,10.472
14,20000,10.544
19,500,11.352
19,1000,10.824
19,5000,11.152
19,10000,11.08
19,20000,11.0
25,500,11.104
25,1000,10.816
25,5000,10.96
25,10000,11.376
25,20000,11.496
