maxdepth,num_Runs,avgstep
4,500,186.08
4,1000,106.0
4,5000,56.52
4,10000,35.968
4,20000,26.68
5,500,134.52
5,1000,108.552
5,5000,60.416
5,10000,36.312
5,20000,24.912
7,500,54.912
7,1000,39.776
7,5000,28.08
7,10000,24.104
7,20000,24.32
10,500,26.768
10,1000,19.344
10,5000,13.576
10,10000,11.928
10,20000,12.2
14,500,16.44
14,1000,14.248
14,5000,12.752
14,10000,12.464
14,20000,12.104
19,500,13.352
19,1000,13.128
19,5000,12.544
19,10000,12.672
19,20000,12.568
25,500,13.288
25,1000,13.24
25,5000,13.208
25,10000,13.512
25,20000,12.808
