maxdepth,num_Runs,avgstep
4,500,106.744
4,1000,78.856
4,5000,34.896
4,10000,29.648
4,20000,24.0
5,500,64.768
5,1000,54.544
5,5000,36.096
5,10000,27.96
5,20000,25.736
7,500,36.416
7,1000,31.632
7,5000,28.048
7,10000,23.848
7,20000,23.208
10,500,24.32
10,1000,22.624
10,5000,15.76
10,10000,14.856
10,20000,13.776
14,500,16.832
14,1000,15.744
14,5000,14.112
14,10000,13.448
14,20000,13.408
19,500,15.872
19,1000,15.24
19,5000,13.872
19,10000,13.52
19,20000,13.44
25,500,15.304
25,1000,14.4
25,5000,14.504
25,10000,14.176
25,20000,13.752
