maxdepth,num_Runs,avgstep
4,500,133.664
4,1000,105.224
4,5000,51.688
4,10000,39.928
4,20000,33.288
5,500,104.056
5,1000,99.736
5,5000,49.472
5,10000,42.864
5,20000,35.152
7,500,57.048
7,1000,49.208
7,5000,34.496
7,10000,35.336
7,20000,31.072
10,500,31.2
10,1000,32.928
10,5000,20.016
10,10000,17.856
10,20000,15.656
14,500,24.96
14,1000,19.064
14,5000,15.424
14,10000,13.136
14,20000,13.288
19,500,17.48
19,1000,16.472
19,5000,13.888
19,10000,13.296
19,20000,13.544
25,500,15.576
25,1000,14.136
25,5000,13.264
25,10000,13.848
25,20000,13.68
