maxdepth,num_Runs,avgstep
4,500,86.816
4,1000,75.92
4,5000,42.48
4,10000,35.384
4,20000,23.184
5,500,62.568
5,1000,60.08
5,5000,42.152
5,10000,34.504
5,20000,26.336
7,500,41.784
7,1000,41.392
7,5000,28.264
7,10000,27.088
7,20000,22.056
10,500,23.288
10,1000,23.488
10,5000,13.608
10,10000,12.584
10,20000,11.424
14,500,15.12
14,1000,13.136
14,5000,11.912
14,10000,12.112
14,20000,11.872
19,500,13.88
19,1000,13.328
19,5000,12.168
19,10000,12.056
19,20000,12.208
25,500,14.152
25,1000,12.176
25,5000,12.56
25,10000,12.872
25,20000,12.096
