maxdepth,num_Runs,avgstep
4,500,143.432
4,1000,134.056
4,5000,77.856
4,10000,63.848
4,20000,47.224
5,500,109.704
5,1000,105.336
5,5000,78.008
5,10000,60.224
5,20000,52.184
7,500,75.568
7,1000,60.296
7,5000,55.656
7,10000,50.648
7,20000,56.872
10,500,54.424
10,1000,45.344
10,5000,34.68
10,10000,29.032
10,20000,26.064
14,500,33.168
14,1000,28.128
14,5000,19.072
14,10000,15.848
14,20000,14.96
19,500,25.096
19,1000,20.232
19,5000,14.84
19,10000,15.088
19,20000,15.184
25,500,20.416
25,1000,17.728
25,5000,15.424
25,10000,14.928
25,20000,14.992
