maxdepth,num_Runs,avgstep
16,500,15.848
16,750,14.304
16,1000,12.88
16,2000,12.376
16,4000,12.144
16,5000,12.184
16,6000,12.392
16,10000,11.864
16,20000,11.896
18,500,14.544
18,750,14.232
18,1000,12.728
18,2000,12.184
18,4000,12.12
18,5000,12.432
18,6000,12.496
18,10000,12.104
18,20000,12.352
20,500,13.56
20,750,13.168
20,1000,12.88
20,2000,12.488
20,4000,12.176
20,5000,12.128
20,6000,11.904
20,10000,12.096
20,20000,12.224
22,500,14.296
22,750,13.384
22,1000,12.888
22,2000,12.424
22,4000,12.696
22,5000,12.16
22,6000,11.832
22,10000,12.096
22,20000,12.224
24,500,13.544
24,750,12.824
24,1000,12.952
24,2000,12.624
24,4000,13.096
24,5000,12.176
24,6000,12.256
24,10000,12.488
24,20000,11.936
