maxdepth,num_Runs,avgstep
16,500,16.176
16,750,15.912
16,1000,14.832
16,2000,14.184
16,4000,13.408
16,5000,13.768
16,6000,13.784
16,10000,13.816
16,20000,13.424
18,500,16.496
18,750,15.16
18,1000,14.584
18,2000,14.696
18,4000,13.664
18,5000,13.8
18,6000,13.232
18,10000,13.504
18,20000,13.512
20,500,16.056
20,750,14.592
20,1000,15.056
20,2000,14.312
20,4000,13.76
20,5000,13.632
20,6000,14.432
20,10000,13.792
20,20000,14.0
22,500,15.208
22,750,15.088
22,1000,14.728
22,2000,14.432
22,4000,14.16
22,5000,14.224
22,6000,14.208
22,10000,13.96
22,20000,13.792
24,500,15.32
24,750,14.632
24,1000,14.248
24,2000,13.896
24,4000,13.984
24,5000,14.464
24,6000,13.824
24,10000,14.088
24,20000,13.8
