maxdepth,num_Runs,avgstep
16,500,21.912
16,750,20.248
16,1000,18.696
16,2000,14.304
16,4000,13.56
16,5000,13.824
16,6000,13.912
16,10000,13.752
16,20000,13.072
18,500,20.064
18,750,16.8
18,1000,16.128
18,2000,14.24
18,4000,14.088
18,5000,13.704
18,6000,13.304
18,10000,13.936
18,20000,12.88
20,500,16.992
20,750,17.432
20,1000,15.352
20,2000,14.512
20,4000,13.04
20,5000,13.872
20,6000,13.792
20,10000,13.32
20,20000,13.976
22,500,17.312
22,750,15.928
22,1000,15.224
22,2000,13.816
22,4000,13.352
22,5000,13.432
22,6000,13.576
22,10000,13.816
22,20000,14.184
24,500,16.592
24,750,16.728
24,1000,14.784
24,2000,13.944
24,4000,13.48
24,5000,13.16
24,6000,13.488
24,10000,13.12
24,20000,12.864
