maxdepth,num_Runs,avgstep
16,500,13.344
16,750,12.952
16,1000,12.552
16,2000,12.048
16,4000,12.2
16,5000,12.448
16,6000,12.16
16,10000,12.608
16,20000,12.44
18,500,13.968
18,750,13.0
18,1000,12.632
18,2000,12.296
18,4000,11.984
18,5000,12.368
18,6000,12.392
18,10000,12.736
18,20000,12.592
20,500,14.144
20,750,13.072
20,1000,13.32
20,2000,12.864
20,4000,12.168
20,5000,12.552
20,6000,12.744
20,10000,12.44
20,20000,12.376
22,500,13.336
22,750,13.12
22,1000,13.032
22,2000,12.408
22,4000,12.632
22,5000,12.56
22,6000,13.032
22,10000,12.264
22,20000,12.416
24,500,13.712
24,750,12.552
24,1000,12.52
24,2000,12.576
24,4000,12.88
24,5000,12.68
24,6000,12.952
24,10000,12.456
24,20000,12.936
