maxdepth,num_Runs,avgstep
16,500,23.616
16,750,21.52
16,1000,19.792
16,2000,18.04
16,4000,16.76
16,5000,16.304
16,6000,16.272
16,10000,15.864
16,20000,14.912
18,500,21.472
18,750,19.696
18,1000,19.328
18,2000,16.584
18,4000,16.032
18,5000,15.992
18,6000,15.624
18,10000,15.416
18,20000,15.288
20,500,20.488
20,750,19.424
20,1000,18.168
20,2000,16.288
20,4000,15.528
20,5000,15.232
20,6000,15.552
20,10000,15.328
20,20000,14.056
22,500,20.0
22,750,19.024
22,1000,17.632
22,2000,16.448
22,4000,15.36
22,5000,15.04
22,6000,14.656
22,10000,14.776
22,20000,15.152
24,500,19.472
24,750,17.944
24,1000,17.592
24,2000,15.88
24,4000,15.632
24,5000,15.512
24,6000,14.944
24,10000,14.944
24,20000,14.816
