maxdepth,num_Runs,avgstep
16,500,9.728
16,750,9.36
16,1000,9.704
16,2000,9.528
16,4000,9.408
16,5000,9.264
16,6000,9.92
16,10000,9.36
16,20000,9.296
18,500,9.432
18,750,9.568
18,1000,9.848
18,2000,9.088
18,4000,9.472
18,5000,10.496
18,6000,9.192
18,10000,9.864
18,20000,9.496
20,500,9.704
20,750,9.528
20,1000,9.216
20,2000,9.952
20,4000,9.136
20,5000,9.568
20,6000,9.624
20,10000,9.696
20,20000,9.304
22,500,9.472
22,750,9.608
22,1000,9.552
22,2000,9.656
22,4000,10.016
22,5000,9.936
22,6000,9.856
22,10000,10.176
22,20000,9.064
24,500,9.512
24,750,9.816
24,1000,10.04
24,2000,9.952
24,4000,9.536
24,5000,10.312
24,6000,9.568
24,10000,9.328
24,20000,9.72
