maxdepth,num_Runs,avgstep
16,500,32.16
16,750,26.224
16,1000,26.048
16,2000,23.4
16,4000,20.672
16,5000,19.616
16,6000,19.192
16,10000,18.304
16,20000,17.416
18,500,28.208
18,750,28.56
18,1000,24.824
18,2000,21.104
18,4000,19.728
18,5000,18.848
18,6000,18.504
18,10000,18.08
18,20000,17.384
20,500,25.272
20,750,23.648
20,1000,22.928
20,2000,20.248
20,4000,18.704
20,5000,18.424
20,6000,17.72
20,10000,17.064
20,20000,16.616
22,500,25.776
22,750,22.184
22,1000,21.688
22,2000,20.136
22,4000,18.688
22,5000,18.024
22,6000,17.08
22,10000,17.352
22,20000,16.84
24,500,24.56
24,750,21.24
24,1000,20.216
24,2000,19.336
24,4000,17.656
24,5000,17.248
24,6000,17.496
24,10000,17.184
24,20000,16.72
